complaint_id,type,state,city,amount_lost,age,gender,date,description,status
1,Crypto Scam,Maharashtra,Nagpur,3498,51,Female,2023-05-13 00:00:00,Victim reported crypto scam incident in Nagpur.,Open
2,Identity Theft,Maharashtra,Mumbai,7890,39,Female,2023-11-27 00:00:00,Victim reported identity theft incident in Mumbai.,Under Investigation
3,KYC Scam,Maharashtra,Nagpur,6745,41,Female,2023-01-22 00:00:00,Victim reported kyc scam incident in Nagpur.,Closed
4,Social Media Hack,Maharashtra,Pune,38943,19,Female,2023-07-19 00:00:00,Victim reported social media hack incident in Pune.,Under Investigation
5,Social Media Hack,Maharashtra,Mumbai,4209,52,Female,2023-02-27 00:00:00,Victim reported social media hack incident in Mumbai.,Closed
6,Phishing,Maharashtra,Nagpur,38218,31,Male,2023-10-02 00:00:00,Victim reported phishing incident in Nagpur.,Open
7,Online Shopping Fraud,Maharashtra,Pune,45662,24,Female,2023-03-10 00:00:00,Victim reported online shopping fraud incident in Pune.,Under Investigation
8,Job Scam,Maharashtra,Pune,6566,51,Female,2023-12-17 00:00:00,Victim reported job scam incident in Pune.,Closed
9,Crypto Scam,Maharashtra,Mumbai,38334,47,Female,2023-12-17 00:00:00,Victim reported crypto scam incident in Mumbai.,Closed
10,Identity Theft,Maharashtra,Mumbai,8620,57,Female,2023-07-08 00:00:00,Victim reported identity theft incident in Mumbai.,Open
11,Online Shopping Fraud,Maharashtra,Pune,7120,43,Female,2023-09-29 00:00:00,Victim reported online shopping fraud incident in Pune.,Closed
12,Identity Theft,Maharashtra,Nagpur,48570,59,Male,2023-12-03 00:00:00,Victim reported identity theft incident in Nagpur.,Under Investigation
13,Crypto Scam,Maharashtra,Mumbai,11186,46,Female,2023-04-27 00:00:00,Victim reported crypto scam incident in Mumbai.,Closed
14,UPI Fraud,Maharashtra,Mumbai,9652,47,Female,2023-03-04 00:00:00,Victim reported upi fraud incident in Mumbai.,Open
15,UPI Fraud,Maharashtra,Mumbai,32871,25,Female,2023-04-12 00:00:00,Victim reported upi fraud incident in Mumbai.,Open
16,UPI Fraud,Maharashtra,Nagpur,7727,56,Male,2023-10-22 00:00:00,Victim reported upi fraud incident in Nagpur.,Open
17,Phishing,Maharashtra,Mumbai,24598,53,Female,2023-03-24 00:00:00,Victim reported phishing incident in Mumbai.,Under Investigation
18,Phishing,Maharashtra,Pune,25341,33,Male,2023-08-09 00:00:00,Victim reported phishing incident in Pune.,Closed
19,Social Media Hack,Maharashtra,Mumbai,27915,53,Male,2023-02-16 00:00:00,Victim reported social media hack incident in Mumbai.,Under Investigation
20,Job Scam,Maharashtra,Mumbai,6108,55,Female,2023-04-23 00:00:00,Victim reported job scam incident in Mumbai.,Under Investigation
21,Job Scam,Maharashtra,Nagpur,35287,18,Male,2023-03-29 00:00:00,Victim reported job scam incident in Nagpur.,Open
22,Online Shopping Fraud,Maharashtra,Mumbai,3094,23,Male,2023-08-04 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Under Investigation
23,Social Media Hack,Maharashtra,Nagpur,11109,60,Male,2023-04-13 00:00:00,Victim reported social media hack incident in Nagpur.,Under Investigation
24,Identity Theft,Maharashtra,Mumbai,4005,58,Male,2023-06-25 00:00:00,Victim reported identity theft incident in Mumbai.,Under Investigation
25,Social Media Hack,Maharashtra,Mumbai,805,23,Female,2023-05-28 00:00:00,Victim reported social media hack incident in Mumbai.,Closed
26,Social Media Hack,Maharashtra,Mumbai,17410,33,Female,2023-11-24 00:00:00,Victim reported social media hack incident in Mumbai.,Under Investigation
27,Loan Scam,Maharashtra,Nagpur,30092,47,Male,2023-11-06 00:00:00,Victim reported loan scam incident in Nagpur.,Open
28,Social Media Hack,Maharashtra,Mumbai,1811,40,Male,2023-10-30 00:00:00,Victim reported social media hack incident in Mumbai.,Under Investigation
29,Credit Card Fraud,Maharashtra,Nagpur,20512,51,Female,2023-04-07 00:00:00,Victim reported credit card fraud incident in Nagpur.,Closed
30,Online Shopping Fraud,Maharashtra,Mumbai,45249,18,Male,2023-01-27 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Under Investigation
31,KYC Scam,Maharashtra,Nagpur,13920,30,Male,2023-08-28 00:00:00,Victim reported kyc scam incident in Nagpur.,Open
32,Job Scam,Maharashtra,Nagpur,33975,21,Female,2023-09-30 00:00:00,Victim reported job scam incident in Nagpur.,Under Investigation
33,Credit Card Fraud,Maharashtra,Pune,45533,46,Male,2023-08-19 00:00:00,Victim reported credit card fraud incident in Pune.,Closed
34,Crypto Scam,Maharashtra,Nagpur,9226,33,Female,2023-12-12 00:00:00,Victim reported crypto scam incident in Nagpur.,Closed
35,KYC Scam,Maharashtra,Pune,16293,48,Male,2023-10-19 00:00:00,Victim reported kyc scam incident in Pune.,Open
36,Loan Scam,Maharashtra,Nagpur,42920,51,Female,2023-09-11 00:00:00,Victim reported loan scam incident in Nagpur.,Open
37,KYC Scam,Maharashtra,Mumbai,4828,39,Female,2023-03-22 00:00:00,Victim reported kyc scam incident in Mumbai.,Under Investigation
38,Crypto Scam,Maharashtra,Mumbai,36616,59,Male,2023-12-11 00:00:00,Victim reported crypto scam incident in Mumbai.,Under Investigation
39,Identity Theft,Maharashtra,Mumbai,34116,24,Female,2023-07-26 00:00:00,Victim reported identity theft incident in Mumbai.,Closed
40,Social Media Hack,Maharashtra,Mumbai,20974,34,Female,2023-12-28 00:00:00,Victim reported social media hack incident in Mumbai.,Open
41,Online Shopping Fraud,Maharashtra,Mumbai,6496,55,Female,2023-09-07 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Open
42,UPI Fraud,Maharashtra,Nagpur,49499,50,Female,2023-07-11 00:00:00,Victim reported upi fraud incident in Nagpur.,Closed
43,Crypto Scam,Maharashtra,Mumbai,35055,58,Male,2023-05-16 00:00:00,Victim reported crypto scam incident in Mumbai.,Closed
44,Credit Card Fraud,Maharashtra,Nagpur,29328,22,Male,2023-05-28 00:00:00,Victim reported credit card fraud incident in Nagpur.,Under Investigation
45,Phishing,Maharashtra,Mumbai,32927,50,Male,2023-12-27 00:00:00,Victim reported phishing incident in Mumbai.,Closed
46,Phishing,Maharashtra,Mumbai,9865,60,Female,2023-09-15 00:00:00,Victim reported phishing incident in Mumbai.,Open
47,Job Scam,Maharashtra,Nagpur,2360,42,Female,2023-08-09 00:00:00,Victim reported job scam incident in Nagpur.,Open
48,KYC Scam,Maharashtra,Mumbai,6402,37,Female,2023-01-17 00:00:00,Victim reported kyc scam incident in Mumbai.,Under Investigation
49,Social Media Hack,Maharashtra,Pune,6281,32,Female,2023-06-15 00:00:00,Victim reported social media hack incident in Pune.,Closed
50,Phishing,Maharashtra,Pune,5950,49,Male,2023-04-28 00:00:00,Victim reported phishing incident in Pune.,Under Investigation
51,Social Media Hack,Maharashtra,Pune,4346,45,Male,2023-07-03 00:00:00,Victim reported social media hack incident in Pune.,Under Investigation
52,Phishing,Maharashtra,Nagpur,45547,46,Female,2023-08-07 00:00:00,Victim reported phishing incident in Nagpur.,Open
53,Online Shopping Fraud,Maharashtra,Nagpur,40389,60,Male,2023-10-22 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Open
54,Online Shopping Fraud,Maharashtra,Pune,33874,59,Female,2023-06-05 00:00:00,Victim reported online shopping fraud incident in Pune.,Open
